,weight,rfc,rfr,gbc,gbr
0,0.0,0.0,0.0,0.0,0.148437219349
1,0.0,0.0,0.0,0.0,0.184377043508
2,0.0,0.0,0.0,0.0,0.0781379164135
3,0.0,0.0,0.0,0.0,0.460375089154
4,0.0,0.0,0.0,0.0,0.540980091568
5,0.0,0.0,0.0,0.0,0.376713884817
6,0.0,0.0,0.0,0.0,0.00510335900792
7,0.0,0.0,0.0,0.0,-0.12696519431
8,0.0,0.0,0.0,0.0,-0.224723230276
9,0.0,0.0,0.0,0.0,-0.246186145448
10,0.0,0.0,0.0,0.0,-0.328618753866
11,0.0,0.0,0.0,0.0,-0.295249281686
12,0.0,0.0,0.0,0.0,-0.204435765652
13,0.0,0.0,0.0,0.0,-0.144260009929
14,0.0,0.0,0.0,0.0,-0.166660739105
15,0.0,0.0,0.0,0.0,-0.0883165711939
16,0.0,0.0,0.0,0.0,-0.1032891548
17,0.0,0.0,0.0,0.0,-0.125876544312
18,0.0,0.0,0.0,0.0,-0.125876544312
19,0.0,0.0,0.0,0.0,-0.242308559452
20,0.0,0.0,0.0,0.0,-0.144909794236
21,0.0,0.0,0.0,0.0,0.128719572699
22,0.0,0.0,0.0,0.0,0.299943886096
23,0.0,0.0,0.0,0.0,0.603975822031
24,0.0,0.0,0.0,0.0,0.455573632949
25,0.0,0.0,0.0,0.0,0.992061433783
26,0.0,0.0,0.0,0.0,1.21794452132
27,0.0,0.0,0.0,0.0,0.758667095776
28,0.0,0.0,0.0,0.0,0.516542703947
29,0.0,0.0,0.0,0.0,0.0205918426154
30,0.0,0.0,0.0,0.0,-0.0337520390148
31,0.0,0.0,0.0,0.0,-0.0824445778613
32,0.0,0.0,0.0,0.0,-0.0337520390148
33,0.0,0.0,0.0,0.0,-0.0262520390148
34,0.0,0.0,0.0,0.0,-0.0262520390148
35,0.0,0.0,0.0,0.0,-0.0749445778613
36,0.0,0.0,0.0,0.0,-0.0129441449986
37,0.0,0.0,0.0,0.0,-0.0262520390148
38,0.0,0.0,0.0,0.0,-0.00544414499862
39,0.0,0.0,0.0,0.0,-0.0262520390148
40,0.0,0.0,0.0,0.0,0.0703037458908
41,0.0,0.0,0.0,0.0,-0.0159650726507
42,0.0,0.0,0.0,0.0,-0.305979062475
43,0.0,0.0,0.0,0.0,-0.27583512037
44,0.0,0.0,0.0,0.0,-0.234926717993
45,0.0,0.0,0.0,0.0,0.303009938276
46,0.0,0.0,0.0,0.0,0.613230536133
47,0.0,0.0,0.0,0.0,0.71103288163
48,0.0,0.0,0.0,0.0,0.525276616205
49,0.0,0.0,0.0,0.0,1.21938992769
50,0.0,0.0,0.0,0.0,0.607127644908
51,0.0,0.0,0.0,0.0,0.953796890244
52,0.0,0.0,0.0,0.0,1.00516035359
53,0.0,0.0,0.0,0.0,0.705154163159
54,0.0,0.0,0.0,0.0,0.872713599616
55,0.0,0.0,0.0,0.0,0.550942899648
